algoritmo,exactitud,precision_macro,sensibilidad_macro,f1_macro,f1_weighted
Logistic Regression (Baseline),0.8475,0.8489611837437924,0.8473796431376949,0.8480278467554966,0.8481634162363523
Random Forest (Tuned),0.82,0.8212964371001172,0.819848127782142,0.820410488683787,0.8205527710122634
